time,open,high,low,close,(blank),(blank),Chars,(blank),(blank),(blank),(blank),Bullish Micro Trend,Bearish Micro Trend,Alpha Track,Volume
1727568000,65898.51,66094.5,65482.92,65643.25,,0,0,0,0,0,0,1,0,62590.21950691004,3838.01624903
1727654400,65643.53,65657.01,62895.46,63352.44,,0,0,0,0,0,0,0,0,62674.910672808925,15240.58337344
1727740800,63357.38,64136.44,60207.82,60844.28,,0,0,0,0,0,0,0,1,62471.50726471904,22294.12391517
1727827200,60829.93,62390.09,60020.05,60672.17,,0,0,0,0,0,0,0,1,62279.858258042754,13579.52228382
1727913600,60671.81,61500.86,59884.72,60780.4,,0,0,0,0,0,0,0,1,62140.11470390743,11421.21490098
1728000000,60777.93,62499.75,60495.53,62114.43,,0,0,0,0,0,0,0,0,62138.27598614291,11324.22621759
1728086400,62114.93,62378.34,61713.09,62075.32,,0,0,0,0,0,0,0,0,62136.2035166662,3026.66069547
1728172800,62071.2,62973.69,61827.19,62832.04,,0,0,0,0,0,0,0,0,62136.2035166662,3717.82685264
1728259200,62836.58,64461.08,62147.77,62225.97,,0,0,0,0,0,0,0,0,62136.2035166662,14882.55507234
1728345600,62221.73,63197.81,61857.22,62150.73,,0,0,0,0,0,0,0,0,62136.2035166662,9563.60279205
1728432000,62144.01,62522.67,60292.25,60592.07,,0,0,0,0,0,0,0,1,62136.2035166662,10823.10084665
1728518400,60593.82,61279.75,58890.48,60293.51,,0,0,0,0,0,0,0,1,62136.2035166662,14582.73168274
1728604800,60292.61,63423.8,60059.6,62513.56,,0,0,1,0,0,0,0,0,62136.2035166662,15411.70971681
1728691200,62529.56,63491.06,62500.54,63225.12,,0,0,0,0,0,0,1,0,62136.2035166662,5605.75783416
1728777600,63224,63305.05,62076.48,62878.8,,0,0,0,0,0,0,0,0,62136.2035166662,4310.48072861
1728864000,62879.95,66483.5,62485.67,66085.04,,0,0,0,0,0,0,1,0,62136.2035166662,19261.54604615
1728950400,66085.06,67889.47,64773.89,67075.27,,0,0,0,0,0,0,1,0,62162.839980153854,24201.88287062
1729036800,67076.41,68370.65,66774.88,67618.58,,0,0,0,0,0,0,1,0,62277.97503767004,17335.98501809
1729123200,67615.11,67925.72,66652.12,67414.03,,0,0,0,1,0,0,1,0,62550.59540262828,11175.14541312
1729209600,67413.16,68966.23,67188.79,68413.6,,0,0,0,0,0,0,1,0,63202.0403578918,15654.16389131
1729296000,68413.83,68657.75,68030.76,68364.41,,0,0,0,0,0,0,1,0,63775.636984792705,2869.53312757
1729382400,68366.18,69365,68107.64,69020.34,,0,0,0,0,0,0,1,0,64358.38176426018,4246.56871831
1729468800,69020.34,69504.7,66849.4,67374.06,,0,0,0,0,0,0,1,0,64693.45712378682,14806.26709217
1729555200,67375.81,67789.5,66576.1,67388.67,,0,0,0,0,0,0,1,0,64992.925221143836,11953.05965859
1729641600,67391.98,67417.04,65153.38,66632.63,,0,0,0,0,0,0,0,0,65175.11464101674,13039.15053624
1729728000,66629.4,68810.05,66469.88,68167.49,,0,0,0,0,0,0,1,0,65507.60079201488,14318.86508327
1729814400,68167.74,68729.35,65538.5,66620.83,,0,0,0,0,0,0,0,0,65631.29292623544,19694.52055707
1729900800,66613.83,67377.89,66373.99,67030.64,,0,0,0,0,0,0,0,0,65786.7759344315,4116.61659907
1729987200,67031.06,68254.34,66865.8,67964.35,,0,0,0,0,0,0,1,0,66028.72860838355,4452.39722131
1730073600,67964.12,70235.25,67567.12,69935.85,,0,0,0,0,0,0,1,0,66462.85320745203,21595.30334107
1730160000,69936.62,73581.22,69738.47,72700.59,,0,0,0,0,0,0,1,0,67155.93507329069,30359.26124261
1730246400,72704.34,72956.13,71405.75,72359,,0,0,0,1,0,0,1,0,67734.05339848061,17998.30282339
1730332800,72358.75,72669.01,69606.58,70244.48,,0,0,0,0,0,0,1,0,68012.98968753831,18762.66673571
1730419200,70236.03,71611.25,68796.5,69509.1,,0,0,0,0,0,0,0,0,68179.22416670072,21252.09728886
1730505600,69502.94,69894.18,69025.75,69327.49,,0,0,0,0,0,0,0,0,68306.80925928953,4412.88949239
1730592000,69333.21,69372.74,67479.18,68757.97,,0,0,0,0,0,0,0,0,68354.6356747193,11829.83132698
1730678400,68757.27,69458.39,66824.44,67816.69,,0,0,0,0,0,0,0,0,68307.49764231214,17140.14144665
1730764800,67823.49,70544.17,67473.23,69399.86,,0,0,0,0,0,0,0,0,68374.94703942953,18023.41848615
1730851200,69404.34,76406.79,69326.71,75626.39,,0,0,0,0,0,0,1,0,68651.04179335208,66980.64561973
1730937600,75626.16,76895.38,74459.99,75913.55,,0,0,0,0,0,0,1,0,68787.42911945542,29783.9321914
1731024000,75914.08,77218.3,75660.07,76543.53,,0,0,0,0,0,0,1,0,69277.16615156496,23963.29491351
1731110400,76543.55,76923.17,75734.45,76717.34,,0,0,0,0,0,0,1,0,70103.85213472441,7007.97509447
1731196800,76714.09,81499.25,76547.56,80410.55,,0,0,0,0,0,0,1,0,71249.0407864217,28550.92885297
1731283200,80410.75,89609.5,80275.31,88711.08,,0,0,0,0,1,0,1,0,73189.26736570818,52970.01930535
1731369600,88714.06,90049,85098.75,88021.43,,0,0,0,0,0,0,1,0,74837.28543618505,57886.79239408
1731456000,88023.18,93432.75,86219.63,90489.68,,0,0,0,0,0,0,1,0,76576.44038772004,60003.06684078
1731542400,90485.05,91797.81,86667.99,87326.4,,0,0,0,1,0,0,1,0,77770.88034464003,34802.41349704
1731628800,87318.84,91888.16,87117.21,91053.34,,0,0,0,0,0,0,1,0,79246.70919523557,29815.2019035
1731715200,91051.09,91772.93,90101.05,90588.34,,0,0,0,0,0,0,1,0,80506.89039576495,10350.24128456
1731801600,90601.06,91422.71,88727.31,89860.17,,0,0,0,0,0,0,1,0,81546.14368512439,10301.23387005
