time,open,high,low,close,Reistance Level,Support Level,Volume
1603152000,11759.615,12059.84,11684.65,11923.335,12123.25,3880.5875,27518.31696064
1603238400,11924.4075,13246.91,11901.965,12811.105,12123.25,3880.5875,68888.80966697
1603324800,12807.73,13204.8725,12693.8125,12985.925,12123.25,3880.5875,37602.98680108
1603411200,12986.17,13036.05,12730.4675,12940.1275,12123.25,3880.5875,21706.07880961
1603497600,12939.9675,13177.5325,12887.6275,13127.4175,12123.25,3880.5875,13051.3644601
1603584000,13125.275,13358.31,12873.7975,13042.115,13358.31,3880.5875,17255.63023339
1603670400,13042.86,13249.1225,12785.0975,13071.8175,13358.31,3880.5875,24873.56029081
1603756800,13070.675,13793.88,13062.795,13663.92,13358.31,3880.5875,40074.34999087
1603843200,13673.1175,13860.09,12895.8925,13286.15,13358.31,3880.5875,43648.76148198
1603929600,13284.9025,13651.245,12981.235,13466.4225,13358.31,3880.5875,31762.74986323
1604016000,13462.745,13694.34,13131.6625,13570.475,13358.31,3880.5875,34145.66133663
1604102400,13573.2125,14095.095,13428.1875,13809.855,13358.31,3880.5875,25054.9488823
1604188800,13799.875,13904.565,13632.055,13768.1925,13358.31,3880.5875,11635.1163961
1604275200,13768.7125,13842.045,13219.33,13569.8975,13358.31,3880.5875,26271.92243243
1604361600,13571.555,14079.0225,13295.6775,14037.9525,13358.31,3880.5875,28387.8658248
1604448000,14039.165,14273.01,13535.4775,14162.7275,13358.31,3880.5875,37315.2593543
1604534400,14168.4275,15776.2175,14113.8275,15610.2425,13358.31,3880.5875,67665.47984722
1604620800,15608.8575,15971.91,15189.285,15601.6325,15971.91,3880.5875,50621.10352328
1604707200,15604.7475,15776.6,14344.0575,14838.965,15971.91,3880.5875,43969.94210648
1604793600,14836.535,15663.25,14722.9175,15484.175,15971.91,3880.5875,22393.54040665
1604880000,15483.03,15851.17,14821.125,15336.3475,15971.91,3880.5875,46184.00195139
1604966400,15344.6825,15479.5525,15095.6375,15315.845,15971.91,3880.5875,27771.97470368
1605052800,15316.85,15995.2525,15294.3275,15708.3125,15971.91,3880.5875,33356.26313937
1605139200,15706.815,16366.1325,15455.16,16308.4025,15971.91,3880.5875,50293.96167056
1605225600,16307.6025,16492.71,15973.975,16342.135,15971.91,3880.5875,29895.94153637
1605312000,16343.145,16344.37,15717.085,16084.31,15971.91,3880.5875,18949.81647377
1605398400,16088.0525,16171.57,15795.8875,15969.7475,15971.91,3880.5875,12139.13121001
1605484800,15970.3225,16892.7075,15880.955,16724.2975,15971.91,3880.5875,30641.4048288
1605571200,16728.7325,17877.73,16573.09,17683.04,15971.91,3880.5875,47485.24309767
1605657600,17680.9875,18488.8075,17166.6225,17792.575,15971.91,3880.5875,65880.86201714
1605744000,17797.855,18194.815,17359.4125,17825.9375,15971.91,3880.5875,36158.446297
1605830400,17826.62,18827.1375,17767.41,18682.275,15971.91,3880.5875,36699.64468476
1605916800,18682.175,18978.125,18342.8625,18719.7725,15971.91,3880.5875,26081.7324623
1606003200,18721.2125,18769.195,17612.955,18442.9925,15971.91,3880.5875,29531.23567107
1606089600,18440.27,18780.865,18005.4175,18390.1275,15971.91,3880.5875,35640.75825465
1606176000,18385.2675,19450.9275,18066.4375,19169.8975,15971.91,3880.5875,52673.47049341
1606262400,19172.4325,19499.825,18469.7725,18727.64,19499.825,3880.5875,38419.25762096
1606348800,18723.79,18911.8575,16210.25,17167.14,19499.825,3880.5875,95518.49428399
1606435200,17169.0075,17469.82,16432.5675,17152.92,19499.825,3880.5875,41134.72164014
1606521600,17155.465,17905.515,16877.7075,17740.0325,19499.825,3880.5875,24069.2699565
1606608000,17734.33,18356.78,17535.1925,18197.3175,19499.825,3880.5875,18951.17016783
1606694400,18201.185,19867.6775,17817.1475,19709.54,19499.825,3880.5875,54597.82366631
1606780800,19710.6975,19930.2625,18106.75,18779.14,19499.825,3880.5875,59833.40843285
1606867200,18778.85,19345.0325,18340.775,19228.5225,19499.825,3880.5875,31313.29495993
1606953600,19220.4625,19617.0375,18875.8675,19449.8775,19499.825,3880.5875,27401.6616171
1607040000,19442.015,19546.265,18577.885,18667.305,19499.825,3880.5875,30110.73662002
1607126400,18654.6875,19186.88,18505.5,19159.9025,19499.825,3880.5875,12402.08878176
1607212800,19160.87,19427.66,18873.605,19382.2675,19499.825,3880.5875,12357.65726524
1607299200,19379.3375,19432.1425,18903.5,19178.0925,19499.825,3880.5875,17559.04546198
1607385600,19182.1275,19299.675,18158.5675,18317.92,19499.825,3880.5875,29142.52936699
1607472000,18314.79,18648.5875,17634.8075,18551.52,19499.825,3880.5875,39516.11938305
1607558400,18548.5225,18559.9175,17908.525,18247.86,19499.825,3880.5875,28385.10789114
1607644800,18250.97,18289.5875,17575.405,18035.185,19499.825,3880.5875,31684.92853438
1607731200,18030.74,18962.175,18021.5375,18814.7425,19499.825,3880.5875,17507.08715422
1607817600,18813.5075,19416.4575,18700.0425,19164.8025,19499.825,3880.5875,20364.276209
1607904000,19160.14,19347.395,18987.4775,19276.6175,19499.825,3880.5875,16734.14137442
1607990400,19276.5775,19562.59,19051.5425,19442.235,19499.825,3880.5875,29130.03249476
1608076800,19441.39,21574.2375,19295.1975,21370.875,19499.825,3880.5875,64146.69660984
1608163200,21360.8575,23771.485,21253.0875,22824.125,19499.825,3880.5875,100274.13678466
1608249600,22823.2075,23289.67,22339.66,23139.1,19499.825,3880.5875,43753.55526582
1608336000,23141.4825,24222.145,22768.5825,23856.9625,19499.825,3880.5875,37393.86025177
1608422400,23856.13,24298.685,23098.7525,23478.995,24298.685,3880.5875,27185.87430651
1608508800,23477.04,24111.9925,21894.5975,22729.9375,24298.685,3880.5875,52709.63817606
1608595200,22739.8975,23843.4625,22375.885,23834.1425,24298.685,3880.5875,35549.40018881
1608681600,23826.42,24090.325,22620.0175,23234.965,24298.685,3880.5875,46545.6724033
1608768000,23228.25,23778.535,22712.935,23725.2675,24298.685,3880.5875,29967.83656771
1608854400,23724.985,24775.6625,23415.7475,24705.6075,24298.685,3880.5875,30010.71976702
1608940800,24712.245,26816.0875,24493.8325,26458.9725,24298.685,3880.5875,43653.54124068
1609027200,26469.4325,28378.285,25777.165,26259.1225,24298.685,3880.5875,63320.3559961
1609113600,26244.505,27474.655,26077.5475,27037.975,24298.685,3880.5875,39030.81059445
1609200000,27037.58,27397.9425,25840.645,27370.3625,24298.685,3880.5875,41186.43163929
