time,open,high,low,close,Volume,Histogram
1649116800,46580.72,47193.33,45370.03,45498.32,18208.10985163,-29.13354542651565
1649203200,45506.57,45531.87,43112.19,43181.76,33538.81175733,-30.134681389704117
1649289600,43173.92,43904.42,42744.05,43461.88,17055.74128883,11.96942849774487
1649376000,43458.09,43985.73,42115.73,42281.62,16631.78498126,-10.367969172388852
1649462400,42267.51,42807.6,42123.63,42767.81,6320.40039511,8.882400158250004
1649548800,42774.7,43435.06,41869.98,42155.88,8166.83506326,-6.726693419668254
1649635200,42161.99,42417.74,39219.44,39532.17,24507.66468571,-1.3214187044697812
1649721600,39536.79,40693.12,39266.22,40087.3,19499.50775224,6.740073771347735
1649808000,40090.95,41556.94,39583.21,41144.7,16563.6268696,13.607487627970402
1649894400,41149.44,41499.43,39580.03,39953.82,14999.77063051,-14.934743268342022
1649980800,39957.1,40862.57,39785.8,40563.6,9060.14273012,12.084051379774909
1650067200,40565.32,40700.54,40012.57,40389.5,5337.31284741,3.2547932530107673
1650153600,40384.85,40612.56,39562.29,39687.65,6577.90730181,-14.72528948091699
1650240000,39674.59,41087.55,38556.58,40809.49,19672.95931064,36.35720897297738
1650326400,40810.1,41780.46,40585.35,41503.85,13812.46503742,14.2331217920336
1650412800,41496.42,42218.37,40899.69,41375.16,18503.94921352,12.584575520550928
1650499200,41375.89,43003.88,39777.82,40481.15,23784.95619055,-29.723249150826753
1650585600,40486.74,40802.88,39175.31,39719.22,22255.39587353,-17.13241742180651
1650672000,39711.92,39981.3,39301.75,39440.84,8661.11762859,-6.259528253097496
1650758400,39448.61,39933.62,38995.74,39465.69,8640.32757391,0.5587659928497253
1650844800,39460.95,40605.66,38208.88,40440.55,28261.55112139,26.099764722333862
1650931200,40444.29,40794.44,37693.25,38123.48,30243.66535855,-38.440307123444555
1651017600,38117.16,39468.68,37893.12,39252.85,26724.17364061,21.266215119486688
1651104000,39252.42,40376.47,38864.71,39748.89,22609.72647441,9.340511389420861
1651190400,39748.42,39921.99,38156.71,38592.08,19111.00365267,-21.782914644778458
1651276800,38595.69,38789.62,37596.05,37648.79,9098.19885687,-15.949858029632257
1651363200,37644.98,38668.42,37403.24,38479.3,11375.32192019,30.676922385701413
1651449600,38475.51,39169.7,38037.35,38511.75,22946.27602449,1.0356641768285044
1651536000,38507.81,38640.08,37511.38,37725.77,22238.52987195,-23.177046473224884
1651622400,37728.01,40032.42,37664.88,39680.04,27924.27270891,57.62768341590002
1651708800,39678.74,39840.3,35538.6,36541.63,39682.45974271,-48.05437151672258
1651795200,36540.54,36653.15,35264.49,36010.24,35575.98061093,-4.495823677132222
1651881600,36010.16,36116.92,34779.46,35461.25,14504.46665765,-2.406955475585681
1651968000,35462.2,35497.62,33707.22,34027.56,29984.74345037,-7.116821497027987
1652054400,34035.88,34225.88,30027.24,30076.35,78945.72581619,-4.573658147299369
1652140800,30067.43,32645.62,29741.87,31001.31,77363.95989593,11.747955877055446
1652227200,31004.06,32150.74,27714.29,28991.23,93749.98635484,-1.872455428427326
1652313600,28993.17,30092.4,25365.62,28928.01,106844.40995227,13.92245572944876
1652400000,28937,30977.75,28679.35,29234,47451.86043626,2.0862764883955727
1652486400,29237.6,30280.22,28578.66,30040.99,21813.11826869,5.925255692272131
1652572800,30046.96,31405.52,29444.3,31293.29,21205.42564249,20.21487516125206
1652659200,31287.47,31288.29,29061.24,29832.75,30938.9183083,-10.965536199109884
1652745600,29838.75,30745.25,29411.65,30414.61,26196.88120932,8.282443005111247
1652832000,30414.26,30667.54,28602.82,28672.03,36475.3059383,-12.514813866839589
1652918400,28667.77,30502.21,28649.15,30283.19,36784.85453376,30.231736260474378
1653004800,30278.32,30727.4,28695.29,29166.42,41807.2387075,-11.532343104639864
