time,open,high,low,close,TD8,TD8,TD9,TD9,Small Bull Arrow,Small Bear Arrow,Big Bull Arrow,Big Bear Arrow,Over-Bought,Over-Sold,Caution,Danger
1472947200,599.545,613.675,571.67425,608.2625,,,,,0,0,0,0,596.9600554921988,565.5851771447254,0,0
1473033600,609.40725,610.04225,599.29775,606.336,,,,,0,0,0,0,600.8730166089,562.6460416871175,0,0
1473120000,606.76,612.55225,604.225,611.65775,,,,,0,0,0,0,604.8059736684648,560.3995253528162,0,0
1473206400,612.1795,617.23125,607.54,615.94125,,,,,0,0,0,0,609.1226645082378,558.775185534478,0,0
1473292800,615.76325,630.642,613.685,627.61225,,,,,0,0,0,0,615.6057729615329,557.7873740222018,0,0
1473379200,626.60325,627.98625,617.6675,623.02,,1,,,0,0,0,0,620.5075901643356,556.8153958812735,0,0
1473465600,622.94,626.14525,620.34025,623.31725,,,,1,0,0,0,0,624.4657643445722,555.8655260124445,0,0
1473552000,623.277,630.665,593.3805,607.069,,,,,0,0,0,0,628.6771797978996,556.5298394960402,1,0
1473638400,607.26975,610.31775,604.05825,608.46675,,,,,0,0,0,0,629.9236510258872,557.1461581820909,,0
1473724800,608.08675,611.84475,605.51025,609.74225,,,,,0,0,0,0,631.2085131492992,558.0071415776234,,1
1473811200,608.95,612.56375,607.9575,610.07275,,,,,0,0,0,0,632.3361420656838,559.7350618677057,,
1473897600,609.18275,610.945,604.84775,607.0505,,,,,0,0,0,0,633.1449076050752,561.2504687298424,,
1473984000,607.77175,609.78,604.80675,607.385,,,,,0,0,0,0,633.6233952928408,564.013918470775,,
1474070400,608.25325,608.651,604.01075,606.3,,,,,0,0,0,0,633.5681102101565,566.7537009211555,,
1474156800,606.79,611.12225,605.7125,610.09475,,,,,0,0,0,0,633.4814384344431,569.5202805685789,,
1474243200,610.3325,611.7125,605.86475,608.8775,,,,,0,0,0,0,633.1260803799028,572.3620532314799,,
1474329600,609.34475,609.9475,602.2275,602.2275,,,,,0,0,0,0,632.0012192653794,575.8184395498164,,
1474416000,602.04,602.1775,592.1705,596.93,,,,,0,0,0,0,629.6004896777699,579.3356875068149,,
1474502400,596.74875,597.972,593.81575,595.38075,,,,,0,0,0,0,626.6257814438043,583.5303359467912,,
1474588800,595.3325,603.02425,594.2575,602.4695,,,,,0,0,0,0,626.6257619341786,587.3880212896614,,
1474675200,602.32925,605.1105,599.7125,602.08225,,,,,0,0,0,0,626.475628208213,593.0274541093485,,
1474761600,601.69,603.33725,597.9025,600.1595,,,,,0,0,0,0,626.4816567572793,592.8808158726733,,
1474848000,600.152,607.955,598.71,607.4075,,,,,0,0,0,0,626.3384193290134,592.47290804589,,
1474934400,607.455,608.05475,600.79975,605.34375,,,,,0,0,0,0,625.8486323540686,592.1784576650947,,
1475020800,605.362,606.14725,602.29725,604.55725,,,,,0,0,0,0,623.1510846144281,592.1851649166132,,
1475107200,604.53225,607.176,603.1675,605.95725,,,,,0,0,0,0,620.6367623509519,592.7661515196196,,
1475193600,606.0025,609.715,604.18125,609.675,,,,,0,0,0,0,618.242621822473,594.3263200204672,,
1475280000,609.675,616.19225,609.5475,614.26375,,,,,1,0,0,0,614.4023732832093,595.1898268200886,0,0
1475366400,614.235,614.73,606.95075,610.80925,,1,,,0,0,0,0,614.9518246665003,595.1777706135475,0,0
1475452800,610.7945,613.72,609.18,613.0645,,,,1,0,0,0,0,615.1836452473212,595.0723564589607,0,0
1475539200,613.097,613.1645,607.24275,609.865,,,,,0,0,0,0,615.2575107901799,595.0939897789146,0,0
1475625600,609.86225,614.06775,608.39725,612.2365,,,,,0,0,0,0,615.6141894878667,595.0464538541927,0,0
1475712000,612.1275,613.26175,609.9795,612.2315,,,,,0,0,0,0,615.9418638624088,594.9477416650343,0,0
1475798400,611.2955,619.00675,609.6905,617.25975,,,,,0,0,1,0,617.1960729001614,594.9206037442666,0,0
1475884800,617.28525,619.613,616.14,618.155,,,,,0,0,0,0,618.2971513938107,594.4183843163335,0,0
1475971200,617.95,618.435,614.2965,615.745,,,,,0,0,0,0,619.0760116010784,594.2154735610385,0,0
1476057600,615.34775,618.39,614.28475,617.7925,,,,,0,0,0,0,619.8950665012284,594.2907359616484,0,0
1476144000,617.91,642.86125,616.5975,641.11625,,,,,0,0,0,0,626.2801751556224,595.7438859531045,0,0
1476230400,640.3915,641.74875,632.173,635.2775,,,,,0,0,0,0,630.5336538397531,595.3012881284116,0,0
1476316800,635.16775,638.95625,631.6975,634.84075,,1,,,0,0,0,0,633.638041258678,595.8075678499356,0,0
1476403200,635.16075,641.1425,629.664,638.4425,,,,1,0,0,0,0,636.7319601358122,596.2968966987437,0,0
1476489600,638.4425,642.165,635.219,637.50975,,,,,0,0,0,0,639.46491415828,596.9451733391084,0,0
1476576000,637.33475,642.7625,636.7425,640.9375,,,,,0,0,0,0,642.0389371952947,597.8736630658378,0,0
1476662400,640.54275,641.64725,635.1725,638.8565,,,,,0,0,0,0,644.0833703075086,599.0969519396667,1,0
1476748800,638.8725,639.445,632.86525,635.755,,,,,0,0,0,0,645.41744998778,600.5889152380105,,1
1476835200,635.7575,637.989,624.7885,629.56,,,,,0,0,0,0,646.32471511636,602.3362847360911,,
1476921600,629.275,630.794,625.21275,628.9975,,,,,0,0,0,0,646.4734001404692,604.112949571596,,
1477008000,628.8225,633.91,628.32,631.265,,,,,0,0,0,0,646.9890139133116,605.2919294096318,,
1477094400,631.22725,660.3325,628.892,656.06075,,,,,0,0,0,0,651.2832429512421,606.9980879252679,,
1477180800,656.7375,661.335,648.60325,651.99325,,,,,0,0,0,0,654.9959069876802,607.432411767129,,
1477267200,651.34,653.3925,644.24425,649.99,,,,,0,0,0,0,656.7357546283655,609.1547545284832,,
1477353600,650.0975,659.5175,647.7425,653.11975,,,,,0,0,0,0,659.0308321957978,610.879636789549,,
1477440000,653.11975,678.1375,652.45575,674.357,,,,,0,0,0,0,664.3249879887597,612.4470313823697,,
1477526400,674.237,687.351,671.14225,685.677,,,,,0,0,0,0,670.956875358329,612.4307519196443,,
1477612800,685.6175,690.131,680.77275,688.7125,,,,,0,0,0,0,676.949988545091,611.3891567567542,,
1477699200,688.7125,721.9625,687.903,713.5875,,1,,,0,0,0,0,689.158307695976,611.1838884325517,,
1477785600,713.575,713.92475,691.69,698.44925,,,,1,0,0,0,0,696.9665621647237,611.971071389871,,
1477872000,698.2025,708.31225,683.8375,697.69475,,,,,0,0,0,0,703.1474520485712,614.3036631124044,,
1477958400,697.7125,737.6495,696.745,730.2385,,,,,0,0,0,0,714.185966831491,614.3165354287758,,
1478044800,730.407,742.415,720.0625,742.415,,,,,0,0,0,0,724.4247236976972,612.9172676989077,,
1478131200,742.4175,747,672.69175,688.57725,,,,,0,0,0,0,734.0632262418044,615.6465112769432,,
1478217600,688.973,708.457,683.18025,705.4965,,,,,0,0,0,0,737.0066836279699,617.9480196632751,,
1478304000,705.4915,710.28525,697.227,705.8145,,,,,0,0,0,0,739.7163949433215,620.0333319622384,,
1478390400,705.70275,717.6395,701.37725,713.39925,,,,,0,0,0,0,742.6846035234198,622.6604919822868,,
1478476800,713.2775,713.45325,700.2525,706.23375,,,,,0,0,0,0,744.4990528650845,626.2251231048158,,
