time,open,high,low,close,Volume,RSI,RSI Line 2,RSI Line 3,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label
1593820800,9060.425,9195.8325,9043.9725,9140.565,9459.50474726,45.98057398077804,45.234486947687046,45.11214254356614,,,,,45.98057398077804,,45.98057398077804,
1593907200,9140.645,9146.9125,8909.995,9078.89,10113.54156944,44.377372397780945,44.805929672733996,44.959036108150066,44.377372397780945,44.377372397780945,44.377372397780945,,,,,
1593993600,9078.75,9373.985,9063.265,9347.485,21621.47484708,52.19477625780345,48.50035296526872,46.72969453670939,,,,,52.19477625780345,,52.19477625780345,
1594080000,9346.455,9381.0175,9203.28,9256.945,16238.6245467,49.66108051229413,49.08071673878142,47.905205637745404,49.66108051229413,,49.66108051229413,,,,,
1594166400,9257.3575,9481.8975,9233.9225,9439.2625,22656.88288671,54.455498809808525,51.768107774294975,49.83665670602019,,,,,54.455498809808525,,54.455498809808525,
1594252800,9440.375,9446.305,9158.195,9237.495,18779.31857536,48.90430186328496,50.336204818789966,50.08643076240508,48.90430186328496,,48.90430186328496,,,,,
1594339200,9237.505,9319.0125,9105.285,9288.2275,15085.75435451,50.27683671004971,50.30652076441984,50.19647576341246,,,,,50.27683671004971,,50.27683671004971,
1594425600,9291.46,9302.8975,9182.91,9237.305,6517.91480522,48.85815731306545,49.582339038742646,49.88940740107755,48.85815731306545,,48.85815731306545,,,,,
1594512000,9236.215,9345.4575,9158.34,9302.385,9885.15298048,50.77006995955217,50.1762044991474,50.032805950112476,,,,,50.77006995955217,,50.77006995955217,
1594598400,9303.9125,9351.015,9194.2325,9236.425,16898.07691612,48.779634932357716,49.47791971575256,49.75536283293252,48.779634932357716,,48.779634932357716,,,,,
1594684800,9236.455,9280.195,9095.44,9254.7525,16782.15087029,49.3735508651202,49.42573529043638,49.59054906168445,,,,,49.3735508651202,,49.3735508651202,
1594771200,9256.3625,9275.01,9154.3475,9192.06,16073.11445135,47.350959565415074,48.38834742792572,48.98944824480509,,,,,,,,
1594857600,9192.46,9215.4725,9021.5525,9131.8425,19793.86768173,45.42604901063179,46.907198219278754,47.94832323204192,45.42604901063179,,45.42604901063179,,,,,
1594944000,9131.845,9192.805,9070.505,9154.5775,13962.08027984,46.313418397438525,46.61030830835864,47.279315770200284,,,,,,,,
1595030400,9153.08,9213.22,9124.25,9176.77,7271.06942218,47.215654374439154,46.9129813413989,47.09614855579959,,,,,,,,
1595116800,9176.23,9242.695,9107.7725,9213.99,6991.85077813,48.77064613020767,47.841813735803285,47.468981145801436,,,,,48.77064613020767,,48.77064613020767,
1595203200,9215.165,9225.375,9131.4275,9163.4975,12149.82949165,46.75823705992318,47.30002539786324,47.38450327183234,46.75823705992318,,46.75823705992318,,,,,
1595289600,9163.33,9438.6425,9157.2725,9393.93,21242.96008261,55.73500016747464,51.51751278266894,49.45100802725064,,,,,,,,
1595376000,9395.2525,9568.7525,9280.2975,9536.005,20697.59866737,60.19157265167744,55.85454271717319,52.65277537221191,,,,,,,,
1595462400,9535.8875,9682,9454.82,9615.2925,29936.07743059,62.462866652647996,59.15870468491059,55.905740028561254,,,,,62.462866652647996,,62.462866652647996,
